,,,,,,,,,,,,,,
Area,mnemonic,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
ladu:Norwich,E07000148,22871,23811,23949,25638,24871,24748,23969,25235,27563,26849,27163,27446,28500
ladu:South Norfolk,E07000149,24048,25379,24224,24823,24934,25403,25198,25833,26941,27277,28719,28665,29139
ladu:Babergh,E07000200,#,23065,22341,23691,23507,21324,23583,23723,#,24918,23945,25755,26612
ladu:Ipswich,E07000202,24995,23468,23016,24241,24633,24687,26219,25701,28349,27072,27865,26867,27707
ladu:Mid Suffolk,E07000203,21548,22143,21260,22786,22068,#,24051,27639,25051,24991,28068,28955,30694
ladu:East Suffolk,E07000244,-,-,-,-,-,-,-,-,-,-,27022,29901,29198
ladu:West Suffolk,E07000245,-,-,-,-,-,-,-,-,-,-,26636,27590,28604
ladu:Camden,E09000007,35314,36375,36527,35967,36962,36336,36748,36970,37817,38147,39198,40238,40772
ladu:City of London,E09000001,50503,52092,52271,54381,54000,54202,54710,54034,55487,56295,61203,61527,61471
ladu:Hackney,E09000012,31589,33107,35149,33512,34803,33097,33116,31566,32404,33618,35286,35082,36612
ladu:Hammersmith and Fulham,E09000013,#,36525,35033,36143,35136,34554,33688,34652,35000,36972,40972,38177,41988
ladu:Haringey,E09000014,29859,28515,29597,28032,29116,29609,30325,30072,29753,31442,29801,30515,33706
ladu:Islington,E09000019,36357,36981,34551,35996,36653,37325,36751,36679,39894,39348,40000,41199,41624
ladu:Kensington and Chelsea,E09000020,30217,29901,30196,31491,30726,31307,30002,31524,30008,31678,32976,33000,34715
ladu:Lambeth,E09000022,30566,33415,33821,34836,35280,35397,34491,34852,34670,35036,36200,37226,38698
ladu:Lewisham,E09000023,29403,30891,30806,29567,29995,30478,29983,30932,32217,33294,29966,32392,34886
ladu:Newham,E09000025,29467,31028,32578,29998,30540,29334,29061,28886,30743,30770,30392,33600,33384
ladu:Southwark,E09000028,31227,34265,35050,36124,36056,36198,34612,36238,37159,37601,39998,40367,43657
ladu:Tower Hamlets,E09000030,41880,43987,44443,45970,44880,46441,48309,46681,45975,49369,49237,45914,50929
ladu:Wandsworth,E09000032,30808,32373,31818,32033,31262,31491,31085,31968,33405,33137,34501,34814,35549
ladu:Westminster,E09000033,36048,36765,37836,37406,37649,36946,37260,39392,40000,42152,43015,43753,46010
ladu:Barking and Dagenham,E09000002,29396,30973,28527,28201,33131,32248,32698,33018,30994,28553,29995,28739,32821
ladu:Barnet,E09000003,27978,30496,30000,30237,29594,29353,31162,30900,32623,32143,29927,31637,32030
ladu:Bexley,E09000004,28326,28222,27738,28638,27440,28512,28505,29664,#,30733,#,31656,30913
ladu:Brent,E09000005,27326,27503,25997,26772,27577,28034,29514,29987,30699,30134,30366,31706,33972
ladu:Bromley,E09000006,27236,26951,27712,28163,28082,28126,27926,30444,30861,29819,30762,#,34217
ladu:Croydon,E09000008,27482,28225,28586,28979,28974,30939,31154,30628,31479,32109,33804,35654,34387
ladu:Ealing,E09000009,29439,28234,28732,28646,31104,29733,28825,28657,29241,30259,29928,31032,32741
ladu:Enfield,E09000010,25550,27828,26967,26412,27123,25805,25805,26230,28918,29134,29238,28170,30338
ladu:Greenwich,E09000011,30766,29871,31821,29932,30097,29251,28954,30497,30180,32635,33163,33214,34561
ladu:Harrow,E09000015,27627,27532,27921,27540,26738,25784,26037,26770,30134,31255,30553,32812,30220
ladu:Havering,E09000016,28800,28317,28235,28415,28326,29858,30003,30591,28906,29134,30181,32227,33836
ladu:Hillingdon,E09000017,31291,31584,31586,33589,33822,35738,33984,32681,33093,33596,31886,35359,38183
ladu:Hounslow,E09000018,29475,31672,31307,32759,31821,31173,33038,33717,36235,34119,35935,36672,37422
ladu:Kingston upon Thames,E09000021,26583,27497,28240,28997,29067,29450,30768,28635,30729,31308,#,32261,35279
ladu:Merton,E09000024,28363,27662,27441,28066,28613,28610,27539,30040,28224,29627,31182,31741,34191
ladu:Redbridge,E09000026,29283,31235,30086,29829,28100,31215,31127,29098,28237,29189,#,29967,32528
ladu:Richmond upon Thames,E09000027,32437,31733,32249,32197,31505,31997,31533,32660,33329,32141,34027,35390,36177
ladu:Sutton,E09000029,26082,26111,26288,26743,25247,30061,25797,27355,28318,27945,28853,32999,35042
ladu:Waltham Forest,E09000031,26609,27651,27755,28005,27235,#,26484,29352,27455,28284,30298,30664,34817
ladu:Bracknell Forest,E06000036,36169,36049,35120,38513,36850,36901,37868,33290,35246,36621,37410,37533,41770
ladu:Brighton and Hove,E06000043,24994,24707,25503,24886,25442,25544,27445,26541,27951,28083,27795,30230,33304
ladu:Isle of Wight,E06000046,23247,23935,22207,23952,25192,23218,24009,23830,25063,24420,24802,24765,27335
ladu:Medway,E06000035,24723,26240,26308,26508,26192,25489,26502,26826,26782,28024,28032,29378,33037
ladu:Milton Keynes,E06000042,26227,27075,27033,26803,27472,28758,29244,29062,32458,30594,31847,34247,33498
ladu:Portsmouth,E06000044,26433,28136,28911,27457,27064,27067,27272,27867,28660,28239,29576,30996,31392
ladu:Reading,E06000038,27019,29022,30193,30821,31640,31591,30268,31440,33354,36107,36366,34206,33908
ladu:Slough,E06000039,29385,31969,30785,31841,30919,33113,30124,30539,31751,32053,33407,36445,35289
